Version,Date,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26/10/2024,8:09:54,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last 7 shifts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine,Serial,Nr,Shift,Date,Time,Picks,Length,%,Weaver %,Stops,CMPX,Time,Filling,CMPX,Time,Warp,CMPX,Time,Bobbin,CMPX,Time,Hand,CMPX,Time,Other,CMPX,Time,Starts,Speed
LOOM05,424107,-6,A,23/10/2024,8:00,309933,77.2,78.4,78.4,109,35.2,7260,70,22.6,3168,33,10.6,3705,3,1,235,2,0.6,125,1,0.3,27,39,548
LOOM06,424106,Current,A,26/10/2024,8:00,7993,2.2,97.8,97.8,1,12.5,18,1,12.5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,600
LOOM06,424106,-1,B,25/10/2024,20:00,387946,108.2,89.7,89.7,60,15.5,3525,34,8.8,1091,20,5.2,2228,4,1,172,1,0.3,16,1,0.3,18,13,600
LOOM06,424106,-2,A,25/10/2024,8:00,387027,108,89.5,89.5,57,14.7,3946,30,7.8,1186,18,4.7,2214,5,1.3,329,4,1,217,0,0,0,13,600
LOOM06,424106,-3,B,24/10/2024,20:00,376284,105,87,87,54,14.4,4851,31,8.2,1024,21,5.6,3734,1,0.3,77,0,0,0,1,0.3,16,13,600
LOOM06,424106,-4,A,24/10/2024,8:00,379831,106,87.8,87.8,61,16.1,4465,30,7.9,1326,23,6.1,2539,6,1.6,386,2,0.5,214,0,0,0,11,600
LOOM06,424106,-5,B,23/10/2024,20:00,381608,106.5,88.3,88.3,65,17,3789,46,12.1,1468,15,3.9,2105,3,0.8,203,1,0.3,13,0,0,0,22,600
LOOM06,424106,-6,A,23/10/2024,8:00,370193,103.3,86.6,86.6,59,15.9,5445,23,6.2,1269,27,7.3,3471,5,1.4,332,4,1.1,373,0,0,0,7,593
LOOM07,424110,Current,A,26/10/2024,8:00,6816,1.7,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601
LOOM07,424110,-1,B,25/10/2024,20:00,395343,98.4,91.5,91.5,86,21.8,3091,66,16.7,1606,14,3.5,1189,5,1.3,279,1,0.3,17,0,0,0,18,600
LOOM07,424110,-2,A,25/10/2024,8:00,357217,88.9,82.7,82.7,102,28.6,6118,60,16.8,2069,32,9,3336,5,1.4,417,1,0.3,87,4,1.1,209,21,600
LOOM07,424110,-3,B,24/10/2024,20:00,366941,91.4,84.9,84.9,102,27.8,5496,69,18.8,1900,25,6.8,3159,8,2.2,437,0,0,0,0,0,0,16,600
LOOM07,424110,-4,A,24/10/2024,8:00,373738,93.1,86.5,86.5,77,20.6,5046,50,13.4,2027,19,5.1,2521,6,1.6,407,2,0.5,91,0,0,0,20,600
LOOM07,424110,-5,B,23/10/2024,20:00,316523,78.8,73.3,73.3,81,25.6,7232,47,14.8,1598,28,8.8,5290,4,1.3,208,2,0.6,136,0,0,0,63,599
LOOM07,424110,-6,A,23/10/2024,8:00,346645,86.3,80.3,80.3,108,31.2,6660,78,22.5,2529,22,6.3,3003,7,2,1093,1,0.3,35,0,0,0,32,599
LOOM08,424109,Current,A,26/10/2024,8:00,5674,2,76.1,76.1,2,35.2,178,0,0,25,1,17.6,71,0,0,0,1,17.6,82,0,0,0,0,599
LOOM08,424109,-1,B,25/10/2024,20:00,378595,135.2,87.7,87.7,82,21.7,4752,39,10.3,1418,30,7.9,2503,12,3.2,791,1,0.3,40,0,0,0,12,599
LOOM08,424109,-2,A,25/10/2024,8:00,348305,124.3,80.7,80.7,90,25.8,7040,37,10.6,1439,36,10.3,4104,8,2.3,497,6,1.7,506,3,0.9,494,20,599
LOOM08,424109,-3,B,24/10/2024,20:00,369194,131.8,85.6,85.6,78,21.1,4594,38,10.3,1323,29,7.9,2567,7,1.9,509,2,0.5,124,2,0.5,71,31,599
LOOM08,424109,-4,A,24/10/2024,8:00,372167,132.9,86.3,86.3,87,23.4,4969,42,11.3,1314,31,8.3,2888,7,1.9,456,3,0.8,157,4,1.1,154,16,599
LOOM08,424109,-5,B,23/10/2024,20:00,340053,121.4,78.9,78.9,123,36.2,7532,74,21.8,2657,36,10.6,3887,9,2.6,770,4,1.2,218,0,0,0,26,598
LOOM08,424109,-6,A,23/10/2024,8:00,363316,129.7,87.5,87.5,55,15.1,4847,22,6.1,1347,17,4.7,2106,10,2.8,853,5,1.4,503,1,0.3,38,8,576
LOOM09,424439,Current,A,26/10/2024,8:00,4523,1.6,70.4,70.4,2,44.2,190,0,0,0,1,22.1,138,0,0,0,1,22.1,52,0,0,0,0,600
LOOM09,424439,-1,B,25/10/2024,20:00,357689,125.9,82.8,82.8,83,23.2,5829,23,6.4,410,44,12.3,4791,13,3.6,525,3,0.8,103,0,0,0,29,600
LOOM09,424439,-2,A,25/10/2024,8:00,361444,127.2,83.7,83.7,85,23.5,5499,30,8.3,705,42,11.6,4047,11,3,710,2,0.6,37,0,0,0,32,600
LOOM09,424439,-3,B,24/10/2024,20:00,373398,131.4,86.5,86.5,110,29.5,4620,42,11.2,864,51,13.7,3118,14,3.7,583,3,0.8,55,0,0,0,32,599
LOOM09,424439,-4,A,24/10/2024,8:00,380651,134,88.1,88.1,71,18.7,4489,25,6.6,585,32,8.4,3138,10,2.6,461,3,0.8,281,1,0.3,24,18,600
LOOM09,424439,-5,B,23/10/2024,20:00,398238,140.2,92.1,92.1,59,14.8,2695,33,8.3,846,13,3.3,1275,10,2.5,435,3,0.8,139,0,0,0,8,600
